taxonId,treeId,location,startTime,endTime
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19700000,ChinaHubei,2020.1114698971207,2019.9473060844375
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19800000,Brazil,2020.1584699453551,2020.158093111375
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19800000,Italy,2020.158093111375,2020.1153003420686
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19800000,ChinaHubei,2020.1153003420686,2019.957627980628
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19900000,Brazil,2020.1584699453551,2020.1559655666351
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19900000,Italy,2020.1559655666351,2020.0621425201082
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,19900000,ChinaHubei,2020.0621425201082,2019.9321648976195
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20000000,Brazil,2020.1584699453551,2020.1567852562616
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20000000,Italy,2020.1567852562616,2020.1487545645793
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20000000,Switzerland,2020.1487545645793,2020.0989027791356
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20000000,ChinaBeijing,2020.0989027791356,2020.09577338105
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20000000,ChinaHubei,2020.09577338105,2019.9520104163837
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20100000,Brazil,2020.1584699453551,2020.1557382397434
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20100000,Italy,2020.1557382397434,2020.1415127781174
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20100000,ChinaHubei,2020.1415127781174,2019.9533058600664
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20200000,Brazil,2020.1584699453551,2020.156809857916
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20200000,Italy,2020.156809857916,2020.0708550036481
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20200000,ChinaHubei,2020.0708550036481,2019.938331562495
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20300000,Brazil,2020.1584699453551,2020.1575133912695
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20300000,Italy,2020.1575133912695,2020.06272030952
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20300000,ChinaHubei,2020.06272030952,2019.9335125345162
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20400000,Brazil,2020.1584699453551,2020.1569850184471
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20400000,Italy,2020.1569850184471,2020.1285007920517
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20400000,Switzerland,2020.1285007920517,2020.0857254601383
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20400000,ChinaHubei,2020.0857254601383,2019.9489434259935
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20500000,Brazil,2020.1584699453551,2020.1575489470267
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20500000,Italy,2020.1575489470267,2020.0682727616968
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20500000,ChinaHubei,2020.0682727616968,2019.9542832483894
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20600000,Brazil,2020.1584699453551,2020.1584255066941
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20600000,Italy,2020.1584255066941,2020.1067229243959
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20600000,ChinaHubei,2020.1067229243959,2019.9542235829088
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20700000,Brazil,2020.1584699453551,2020.1563184341096
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20700000,Italy,2020.1563184341096,2020.1363040523856
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20700000,ChinaHubei,2020.1363040523856,2019.944350287925
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20800000,Brazil,2020.1584699453551,2020.158197409987
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20800000,Italy,2020.158197409987,2020.0607474815608
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20800000,ChinaHubei,2020.0607474815608,2019.9258057558188
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20900000,Brazil,2020.1584699453551,2020.1577421414413
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20900000,Italy,2020.1577421414413,2020.0642819639513
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,20900000,ChinaHubei,2020.0642819639513,2019.9577188939952
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21000000,Brazil,2020.1584699453551,2020.156195496839
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21000000,Italy,2020.156195496839,2020.0856453875463
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21000000,ChinaHubei,2020.0856453875463,2019.955552478482
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21100000,Brazil,2020.1584699453551,2020.1565549872207
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21100000,Italy,2020.1565549872207,2020.1099622997394
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21100000,ChinaHubei,2020.1099622997394,2019.9490404377366
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21200000,Brazil,2020.1584699453551,2020.1563361619228
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21200000,Italy,2020.1563361619228,2020.141910320912
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21200000,Switzerland,2020.141910320912,2020.1087656364098
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21200000,Italy,2020.1087656364098,2020.0645375393747
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21200000,UK,2020.0645375393747,2020.0618898973555
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21200000,ChinaHubei,2020.0618898973555,2019.9143174802464
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21300000,Brazil,2020.1584699453551,2020.1574717718177
hCoV-19/Brazil/SP-02/2020|EPI_ISL_413016|2020-02-28,21300000,Italy,2020.1574717718177,2020.1095511577396
