name	accession	samplingDate	location
hCoV-19/Guangdong/20SF201/2020|EPI_ISL_406538|2020-01-23	EPI_ISL_406538	2020-01-23	ChinaGuangdong
hCoV-19/Shenzhen/SZTH-002/2020|EPI_ISL_406593|2020-01-13	EPI_ISL_406593	2020-01-13	ChinaGuangdong
hCoV-19/Shenzhen/SZTH-003/2020|EPI_ISL_406594|2020-01-16	EPI_ISL_406594	2020-01-16	ChinaGuangdong
hCoV-19/France/IDF-0372/2020|EPI_ISL_406596|2020-01-23	EPI_ISL_406596	2020-01-23	France
hCoV-19/France/IDF-0373/2020|EPI_ISL_406597|2020-01-23	EPI_ISL_406597	2020-01-23	France
hCoV-19/Wuhan/WHU01/2020|EPI_ISL_406716|2020-01-02	EPI_ISL_406716	2020-01-02	ChinaHubei
hCoV-19/Wuhan/WHU02/2020|EPI_ISL_406717|2020-01-02	EPI_ISL_406717	2020-01-02	ChinaHubei
hCoV-19/Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26	EPI_ISL_406798	2019-12-26	ChinaHubei
hCoV-19/Wuhan/WH03/2020|EPI_ISL_406800|2020-01-01	EPI_ISL_406800	2020-01-01	ChinaHubei
hCoV-19/Wuhan/WH04/2020|EPI_ISL_406801|2020-01-05	EPI_ISL_406801	2020-01-05	ChinaHubei
hCoV-19/Australia/VIC01/2020|EPI_ISL_406844|2020-01-25	EPI_ISL_406844	2020-01-25	Australia
hCoV-19/Germany/BY-ChVir-929/2020|EPI_ISL_406862|2020-01-28	EPI_ISL_406862	2020-01-28	Germany
hCoV-19/Hangzhou/HZ-1/2020|EPI_ISL_406970|2020-01-20	EPI_ISL_406970	2020-01-20	ChinaZhejiang
hCoV-19/Singapore/1/2020|EPI_ISL_406973|2020-01-23	EPI_ISL_406973	2020-01-23	Singapore
hCoV-19/England/01/2020|EPI_ISL_407071|2020-01-29	EPI_ISL_407071	2020-01-29	UK
hCoV-19/England/02/2020|EPI_ISL_407073|2020-01-29	EPI_ISL_407073	2020-01-29	UK
hCoV-19/Finland/1/2020|EPI_ISL_407079|2020-01-29	EPI_ISL_407079	2020-01-29	Finland
hCoV-19/Japan/AI-I-004/2020|EPI_ISL_407084|2020-01-25	EPI_ISL_407084	2020-01-25	Japan
hCoV-19/South_Korea/KCDC03/2020|EPI_ISL_407193|2020-01-25	EPI_ISL_407193	2020-01-25	SouthKorea
hCoV-19/Hangzhou/HZCDC0001/2020|EPI_ISL_407313|2020-01-19	EPI_ISL_407313	2020-01-19	ChinaZhejiang
hCoV-19/Australia/NSW01/2020|EPI_ISL_407893|2020-01-24	EPI_ISL_407893	2020-01-24	Australia
hCoV-19/Australia/QLD01/2020|EPI_ISL_407894|2020-01-28	EPI_ISL_407894	2020-01-28	Australia
hCoV-19/Australia/QLD02/2020|EPI_ISL_407896|2020-01-30	EPI_ISL_407896	2020-01-30	Australia
hCoV-19/Belgium/GHB-03021/2020|EPI_ISL_407976|2020-02-03	EPI_ISL_407976	2020-02-03	Belgium
hCoV-19/Singapore/2/2020|EPI_ISL_407987|2020-01-25	EPI_ISL_407987	2020-01-25	Singapore
